	start_time	end_time	type_from_nn	type_from_doctor	homogeneity
670	41280.0	41340.0	-1	-1	0.0
473	26880.0	26940.0	-1	0	0.0
1	31440.0	31500.0	-1	4	0.0
812	51690.0	51750.0	-1	0	0.0
554	32310.0	32370.0	-1	2	0.0
823	52380.0	52440.0	-1	0	0.0
500	28500.0	28560.0	-1	0	0.0
928	58680.0	58740.0	-1	0	0.0
1223	76380.0	76440.0	-1	0	0.0
897	56820.0	56880.0	-1	0	0.0
455	25800.0	25860.0	-1	0	0.0
40	900.0	960.0	-1	0	0.0
529	30240.0	30300.0	-1	0	0.0
253	13680.0	13740.0	-1	0	0.0
261	14160.0	14220.0	-1	0	0.0
979	61740.0	61800.0	-1	0	0.0
533	30480.0	30540.0	-1	0	0.0
1254	78240.0	78300.0	-1	0	0.0
975	61500.0	61560.0	-1	0	0.0
452	25620.0	25680.0	-1	0	0.0
645	39360.0	39420.0	-1	4	0.0
163	8280.0	8340.0	-1	0	0.0
541	30990.0	31050.0	-1	2	0.0
797	50700.0	50760.0	-1	0	0.0
1043	65580.0	65640.0	-1	0	0.0
1005	63300.0	63360.0	-1	0	0.0
730	45900.0	45960.0	-1	0	0.0
745	46860.0	46920.0	-1	2	0.0
485	27600.0	27660.0	-1	0	0.0
327	18120.0	18180.0	-1	0	0.0
350	19500.0	19560.0	-1	0	0.0
360	20100.0	20160.0	-1	0	0.0
752	47400.0	47460.0	-1	2	0.0
1255	78300.0	78360.0	-1	0	0.0
362	20220.0	20280.0	-1	0	0.0
666	41040.0	41100.0	-1	-1	0.0
524	29940.0	30000.0	-1	0	0.0
242	13020.0	13080.0	-1	0	0.0
1165	72900.0	72960.0	-1	0	0.0
109	5040.0	5100.0	-1	0	0.0
437	24720.0	24780.0	-1	0	0.0
297	16320.0	16380.0	-1	0	0.0
398	22380.0	22440.0	-1	0	0.0
1139	71340.0	71400.0	-1	0	0.0
990	62400.0	62460.0	-1	0	0.0
1015	63900.0	63960.0	-1	0	0.0
1251	78060.0	78120.0	-1	0	0.0
993	62580.0	62640.0	-1	0	0.0
1092	68520.0	68580.0	-1	0	0.0
1224	76440.0	76500.0	-1	0	0.0
1124	70440.0	70500.0	-1	0	0.0
491	27960.0	28020.0	-1	0	0.0
445	25200.0	25260.0	-1	0	0.0
699	43470.0	43530.0	-1	3	0.0
391	21960.0	22020.0	-1	0	0.0
233	12480.0	12540.0	-1	0	0.0
203	10680.0	10740.0	-1	0	0.0
283	15480.0	15540.0	-1	0	0.0
56	1860.0	1920.0	-1	0	0.0
568	33690.0	33750.0	-1	4	0.0
1230	76800.0	76860.0	-1	0	0.0
734	46140.0	46200.0	-1	1	0.0
275	15000.0	15060.0	-1	0	0.0
20	44340.0	44400.0	-1	4	0.0
1219	76140.0	76200.0	-1	0	0.0
798	50760.0	50820.0	-1	0	0.0
1141	71460.0	71520.0	-1	0	0.0
781	49620.0	49680.0	-1	-1	0.0
867	55020.0	55080.0	-1	0	0.0
931	58860.0	58920.0	-1	0	0.0
527	30120.0	30180.0	-1	0	0.0
604	36090.0	36150.0	-1	-1	0.0
606	36210.0	36270.0	-1	-1	0.0
394	22140.0	22200.0	-1	0	0.0
468	26580.0	26640.0	-1	0	0.0
544	31260.0	31320.0	-1	3	0.0
1189	74340.0	74400.0	-1	0	0.0
689	42690.0	42750.0	-1	2	0.0
404	22740.0	22800.0	-1	0	0.0
854	54240.0	54300.0	-1	0	0.0
983	61980.0	62040.0	-1	0	0.0
684	42270.0	42330.0	-1	2	0.0
180	9300.0	9360.0	-1	0	0.0
116	5460.0	5520.0	-1	0	0.0
304	16740.0	16800.0	-1	0	0.0
829	52740.0	52800.0	-1	0	0.0
630	37770.0	37830.0	-1	2	0.0
952	60120.0	60180.0	-1	0	0.0
42	1020.0	1080.0	-1	0	0.0
1220	76200.0	76260.0	-1	0	0.0
769	48780.0	48840.0	-1	2	0.0
1210	75600.0	75660.0	-1	0	0.0
873	55380.0	55440.0	-1	0	0.0
1157	72420.0	72480.0	-1	0	0.0
380	21300.0	21360.0	-1	0	0.0
411	23160.0	23220.0	-1	0	0.0
710	44520.0	44580.0	-1	2	0.0
1262	78720.0	78780.0	-1	0	0.0
722	45360.0	45420.0	-1	-1	0.0
461	26160.0	26220.0	-1	0	0.0
295	16200.0	16260.0	-1	0	0.0
152	7620.0	7680.0	-1	0	0.0
847	53820.0	53880.0	-1	0	0.0
374	20940.0	21000.0	-1	0	0.0
364	20340.0	20400.0	-1	0	0.0
660	40680.0	40740.0	-1	-1	0.0
